150,包心白菜,food3,,香菇炒大白菜.jpg,90,10.8,,0.18,0.99,1.62,167.4,13.5,36.9,9,31.5,0.36,0.36,1271125075,1271125075
151,香菇,food3,,,10,4,,0.04,0.34,0.7,28,0.2,0.3,1.7,8.6,0.06,0.11,1271125075,1271125075
153,高麗菜,food3,,高麗菜炒豆皮.jpg,90,20.7,,0.27,1.08,3.96,135,15.3,46.8,9.9,25.2,0.27,0.18,1271125075,1271125075
154,豆腐皮,food2,,,10,19.8,,0.88,2.53,0.45,38.2,2.3,6.2,9.6,39.1,0.47,0.22,1271125075,1271125075
159,蒲瓜,food3,,蝦皮炒扁蒲.jpg,95,17.1,,0.095,0.38,3.99,85.5,2.85,17.1,8.55,19,0.19,0.19,1271125075,1271125075
160,蝦皮,food2,,,5,7.85,,0.065,1.68,0.135,23.4,213.65,69.05,14.15,33.5,0.315,0.085,1271125075,1271125075
162,菠菜,food3,,菠菜炒肉絲.jpg,90,19.8,,0.45,1.89,2.7,414,48.6,69.3,52.2,40.5,1.89,0.54,1271125075,1271125075
165,蒜味香腸,food2,,烤香腸.jpg,100,431,,33.6,16.5,16.4,291,796,9,17,169,0.9,1.8,1271125075,1271125075
166,培根,food2,,培根烤花枝.jpg,30,111.6,,10.68,3.9,0.21,69.6,252.3,1.8,4.8,47.4,0.15,0.39,1271125075,1271125075
167,烏賊(花枝),food2,,,70,35.7,,0.21,7.63,0.77,47.6,46.2,9.1,47.6,60.9,0.14,0.91,1271125075,1271125075
168,雞胸肉(肉雞),food2,,蔥暴雞丁.jpg,100,104,,0.9,22.4,,310,49,1,28,223,0.4,0.4,1271125075,1271125075
170,二節翅(肉雞),food2,,滷雞翅.jpg,100,227,,17.2,16.8,--!,113,125,10,12,101,0.4,1.1,1271125075,1271125075
171,棒棒腿(肉雞),food2,,滷雞腿.jpg,100,141,,6.9,18.4,0.2,217,118,2,18,142,0.5,1.7,1271125075,1271125075
172,全雞(生母雞),food2,,滷雞塊.jpg,100,248,,19.9,16.1,-,228,44,1,6,72,0.4,0.3,1271125075,1271125075
173,海鱸,food2,,橙汁魚.jpg,100,125,,4.8,19.2,-,396,55,3,23,171,0.3,0.4,1271125075,1271125075
174,柳橙汁,food7,飲料,,20,10,,0.02,0.02,2.46,4.2,4.4,0.6,0.6,0.8,0.02,0,1271125075,1271125075
176,白飯,food1,,白飯.jpg,100,140,,0,0,0,0,0,0,0,0,0,0,1271125075,1271125075
177,麵筋(濕100g)(乾40g),food2,,滷麵筋.jpg,40,255.2,,20.64,17.76,-,2,2.4,10.8,4.8,11.2,0.88,0.72,1271125075,1271125075
178,燒餅,food7,中式早餐,燒餅.jpg,20,64,,1.82,1.82,10.22,16.2,91.6,1.6,2.4,13,0.2,0.1,1271125075,1271125075
179,油,food5,,,2.5,22.075,,2.4975,0,0,0,0,0,0,0,0,0,1271125075,1271125075
181,五花肉(豬),food2,,,30,117.9,19.8,11.01,4.35,0,69.3,10.8,0.3,4.2,38.4,0.18,0.42,1271125075,1271125075
182,油蔥酥,food7,調味料,,2,10.28,,0.576,0.148,1.142,14.04,0.6,1.9,3.36,7.54,0.214,0.072,1271125075,1271125075
187,胡蘿蔔,food3,,,20,7.6,0,0.1,0.22,1.56,58,15.8,6,3.2,10.4,0.08,0.06,1271125075,1271125075
188,韭菜,food3,,,30,8.1,0,0.18,0.6,1.29,108,1.2,16.8,6,10.2,0.39,0.18,1271125075,1271125075
190,菜肉餛飩,food2,,餛飩.jpg,75,183,0,13.725,6.825,8.475,146.25,519.75,33,13.5,65.25,0.975,1.05,1271125075,1271125075
191,燒餅,food7,中式早餐,燒餅油條.jpg,150,480,0,13.65,13.65,76.65,121.5,687,12,18,97.5,1.5,0.75,1271125075,1271125075
192,油條,food7,中式早餐,,30,167.4,0,12.75,3.03,10.5,28.8,102.3,2.7,5.4,27.9,0.27,0.21,1271125075,1271125075
193,稻米,food1,,皮蛋瘦肉粥.jpg,30,105.9,0,0.18,2.1,23.31,22.2,1.2,1.8,5.7,14.7,0.06,0.42,1271125075,1271125075
194,豬肉酥,food2,,,10,54.6,10.3,3.56,3.3,2.43,57.2,146.7,9,4.4,28.1,0.36,0.33,1271125075,1271125075
195,皮蛋,food2,,,50,72.5,299.5,4.8,6.15,1.25,74.5,338,10.5,2.5,82,2.05,0.45,1271125075,1271125075
196,蕃薯粉,food7,調味料,麵皮蛋餅.jpg,50,177,0,0.1,0.05,44.4,8.5,3.5,31,2,2.5,0.1,0.05,1271125075,1271125075
197,雞蛋,food2,,,50,71,216.5,4.95,6.05,0.15,61.5,67.5,15,5.5,92.5,0.9,0.6,1271125075,1271125075
198,沙拉油,food5,,,20,176.6,0,19.98,0,0,0,0,0,0,0,0,0,1271125075,1271125075
200,豬肉酥,food2,,,15,81.9,15.45,5.34,4.95,3.645,85.8,220.05,13.5,6.6,42.15,0.54,0.495,1271125075,1271125075
201,冷凍饅頭,food2,,冷凍饅頭.jpg,95,263.15,0,2.28,7.03,54.15,82.65,86.45,8.55,16.15,65.55,0.475,0.57,1271125075,1271125075
202,中筋麵粉,food1,,上海小籠煎包.jpg,30,107.7,0,0.42,3.63,21.84,30.9,0.3,5.1,7.8,12.9,0.21,0.18,1271125075,1271125075
203,高麗菜,food3,,,10,2.3,0,0.03,0.12,0.44,15,1.7,5.2,1.1,2.8,0.03,0.02,1271125075,1271125075
